id,name,address
ChIJdWxZlZJv5kcRwaUmLUhfGA0,Caïus,"6 rue d'Armaillé, Paris, 75017, France"
ChIJXZOfs6Zx5kcRLQByGMVUS1A,Chakaiseki Akiyoshi,"59 rue Letellier, Paris, 75015, France"
ChIJF_F9KShv5kcRK4C7yvLdvxY,Chantoiseau,"63 rue Lepic, Paris, 75018, France"
ChIJHUT1gkBv5kcRZ95ZsUdWzoc,Charbon Kunitoraya,"5 rue Villedo, Paris, 75001, France"
ChIJ__vwIoZv5kcRyW3IkqnaT68,Chenapan,"28 rue Louise-Émilie-de-la-Tour-d'Auvergne, Paris, 75009, France"
ChIJHZoYd2xu5kcRqkM2ee0VvLw,Chez Michel,"10 rue de Belzunce, Paris, 75010, France"
ChIJIcrA5DJu5kcRj3fEmjFRWQw,Chez Monsieur,"11 rue du Chevalier-de-Saint-George, Paris, 75008, France"
ChIJe63P-hlv5kcRpDwlTeLaarY,Chocho,"54 rue de Paradis, Paris, 75010, France"
ChIJbZk6SOZx5kcRNhcN7gyIt6k,Ciasa Mia,"19 rue Laplace, Paris, 75005, France"
ChIJCfaiUghy5kcRKzJORkFX-sk,Clamato,"80 rue de Charonne, Paris, 75011, France"
ChIJP_BofyFu5kcRWFi09oBCEDE,Clover Grill,"6 rue Bailleul, Paris, 75001, France"
ChIJ3_C3StZx5kcRP0Nwgx1KbZk,Clover Saint-Germain,"5 rue Perronet, Paris, 75007, France"
ChIJmXGkuHhz5kcRyMo3H5jIVeE,Clutch,"62 rue de Montreuil, Paris, 75011, France"
ChIJAc56Jah65kcRPUvIVLIaIjI,Comice,"31 avenue de Versailles, Paris, 75016, France"
ChIJo7MOEK5v5kcRilGQNw2mAKw,Comme Chez Maman,"5 rue des Moines, Paris, 75017, France"
ChIJnUjhHnFv5kcRrLZLgyVmwVw,Contraste,"18 rue d'Anjou, Paris, 75008, France"
ChIJieM35q5v5kcRSsWWTlMpbA0,Coretta,"151 bis rue Cardinet, Paris, 75017, France"
ChIJidtu16pv5kcRyPrSJ5EQkKk,Dame,"38 rue Condorcet, Paris, 75009, France"
ChIJ75Si4fdx5kcR9y7ygtTd-dk,Dame Augustine,"32 avenue des Gobelins, Paris, 75013, France"
ChIJ9_cKy7Zz5kcRNYRZ7LWNJvM,Dandelion,"46 rue des Vignoles, Paris, 75020, France"
ChIJewApsjtv5kcRhX25uxAbxiE,Dante,"14 rue de Paradis, Paris, 75010, France"
ChIJix2wynBv5kcREclRmmNBD24,Datil,"13 rue des Gravilliers, Paris, 75003, France"
ChIJEfipg79v5kcRpfj267gqR0k,David Toutain,"29 rue Surcouf, Paris, 75007, France"
ChIJ7UU1igZy5kcR8-BrVw9FzmQ,Dersou,"21 rue Saint-Nicolas, Paris, 75012, France"
ChIJEyUuGcpz5kcRUTU9FiqBmTU,Des Terres,"82 rue Alexandre-Dumas, Paris, 75020, France"
ChIJ75I0XQRu5kcRHJRwpkFqu7I,Dessance,"74 rue des Archives, Paris, 75003, France"
ChIJxViUKZdv5kcRqbcEd1ZzV80,Dessirier,"9 place du Maréchal-Juin, Paris, 75017, France"
ChIJSQwPxwdt5kcRbleMxeNvh1Y,Deux Bistrot de chefs,"58 rue de la Fontaine-au-Roi, Paris, 75011, France"
ChIJ2xMOOOxt5kcRmDNZv-pydrg,Dilia,"1 rue d'Eupatoria, Paris, 75020, France"
ChIJs7eZzHZ75kcRWO4XbZmKBfA,Disciples,"136 boulevard Murat, Paris, 75016, France"
ChIJv1HUW9dv5kcRSrNx_IaOe-g,Divellec,"18 rue Fabert, Paris, 75007, France"
ChIJV893WNdx5kcRId2B1-rDEZU,Don Juan II,"Port Debilly, Paris, 75016, France"
ChIJ53_L_qpt5kcRxyLNzsOYfg0,Double Dragon,"52 rue Saint-Maur, Paris, 75011, France"
ChIJeQAhgjpu5kcR2eETKOOnYng,Drouant,"16-18 place Gaillon, Paris, 75002, France"
ChIJs8ciOBpv5kcR_lKdsKEWjv8,Ducasse Baccarat,"11 place des États-Unis, Paris, 75016, France"
ChIJp5398YZv5kcRNP0jeI5cWpI,Ducasse sur Seine,"Port Debilly, Paris, 75016, France"
ChIJRZKovRlu5kcRZOlh4VAz9cA,ERH,"11 rue Tiquetonne, Paris, 75002, France"
ChIJ3dS2pSpw5kcR_W2ALSc4OWA,ES,"91 rue de Grenelle, Paris, 75007, France"
ChIJP8ydvylu5kcRU-Li_tbRo3Y,Eclipses,"27-29 rue de Beaune, Paris, 75007, France"
ChIJKz9iVLZv5kcRWTflgpvsgXI,Edith,"9 rue Jean-Giraudoux, Paris, 75016, France"
ChIJxax0XRRu5kcRltIfk0EGhdU,Eels,"27 rue d'Hauteville, Paris, 75010, France"
ChIJVQZxCg9u5kcRnzjCj6U97w4,Elmer,"30 rue Notre-Dame-de-Nazareth, Paris, 75003, France"
ChIJXwO32AVt5kcRXrI_5bT5HaU,Elsass,"153 avenue Parmentier, Paris, 75010, France"
ChIJZ9mH6JZx5kcRF6GR0iVmGSM,Emporio Armani Caffè,"149 boulevard Saint-Germain, Paris, 75006, France"
ChIJ5xLQUi5t5kcRm28wzY19NIQ,Erso,"18 rue Saint-Ambroise, Paris, 75011, France"
ChIJscSQoF1v5kcRBLtRQXzzwpE,Espadon,"Ritz Paris, 15 place Vendôme, Paris, 75001, France"
ChIJ8R5tH1Fu5kcR2XQlATxyDKM,Etsi,"23 rue Eugène-Carrière, Paris, 75018, France"
ChIJA_9pJnVt5kcRf7FroqePNw4,FIEF,"44 rue de la Folie-Méricourt, Paris, 75011, France"
ChIJD-V-C0tv5kcRNJ4Knp-mdDY,FOGO,"8 rue Meissonier, Paris, 75017, France"
ChIJCYasuEZv5kcRMx-tb1BzNeA,Fana,"14 rue Ferdinand-Flocon, Paris, 75018, France"
ChIJfXpjH8pv5kcRCD0PIxrn3yY,Faubourg Daimant,"20 rue du Faubourg-Poissonnière, Paris, 75010, France"
ChIJd3fGOlBv5kcRbE41EBJjT-U,Fleur de Pavé,"5 rue Paul-Lelong, Paris, 75002, France"
ChIJX8C6phdu5kcRA59bbRIGM5M,Frenchie,"5 rue du Nil, Paris, 75002, France"
ChIJS9ksY_tv5kcRti61O0igJUk,Frenchie Pigalle,"29 rue Victor-Massé, Paris, 75009, France"
ChIJR2puoJNv5kcRKwrZ40ztbfA,Frédéric Simonin,"25 rue Bayen, Paris, 75017, France"
ChIJidCvhZlv5kcRVK6-52FX9g4,Fugue,"128 rue du Faubourg-Saint-Martin, Paris, 75010, France"
ChIJS4mhxwhv5kcR6nPiuO1DG6M,Galanga,"Hôtel Monsieur George, 17 rue Washington, Paris, 75008, France"
ChIJAdSBY8tv5kcRM4OHfSBjKZM,Gare au Gorille,"68 rue des Dames, Paris, 75017, France"
ChIJHxHFCSpu5kcRJCFKQQug9Fg,Gaya par Pierre Gagnaire,"6 rue de Saint-Simon, Paris, 75007, France"
ChIJDdlHVC9w5kcRAnOrwjpqu6k,Gemellus,"37 avenue Duquesne, Paris, 75007, France"
ChIJ8bdBhIFz5kcRZFwmIDOPVnM,Godaille,"9 rue Antoine-Vollon, Paris, 75012, France"
ChIJkUOQ9Bxu5kcRWHpBtoWl0iA,GrandCœur,"41 rue du Temple, Paris, 75004, France"
ChIJ63m1Hxpv5kcRtffG6PtiUyY,Granite,"6 rue Bailleul, Paris, 75001, France"
ChIJ64SRn-xv5kcRH7AlSsBFASQ,Guy Savoy,"11 quai de Conti, Paris, 75006, France"
ChIJ0YZ8pABt5kcRusXBA2KP8uU,Géosmine,"71 rue de la Folie-Méricourt, Paris, 75011, France"
